pressmark,record_url,digitization_type,digitization_url
latin 8145,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67410m,none,none
latin 8146,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67411v,none,none
latin 8147,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674123,colorized,https://gallica.bnf.fr/ark:/12148/btv1b525057892
latin 8148,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67413b,none,none
latin 8149,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67414k,none,none
latin 8150,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674162,none,none
latin 8151,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674179,none,none
latin 8152,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67418j,none,none
latin 8153,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67419s,none,none
latin 8154,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67420t,none,none
latin 8155,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674212,none,none
latin 8156,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674229,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10038659q
latin 8157,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67423j,none,none
latin 8158,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674251,none,none
latin 8159,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674268,none,none
latin 8160,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67427h,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9065988z
latin 8161,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67428r,colorized,https://gallica.bnf.fr/ark:/12148/btv1b8454698g
latin 8162,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674301,none,none
latin 8163,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674318,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b90767208
latin 8164,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67432h,colorized,http://gallica.bnf.fr/ark:/12148/btv1b52513334v
latin 8165,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67433r,colorized,https://gallica.bnf.fr/ark:/12148/btv1b525034556
latin 8166,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674340,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10036359w
latin 8167,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674357,none,none
latin 8168,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67436g,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10036228t
latin 8169,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67437q,none,none
latin 8170,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674396,colorized,https://gallica.bnf.fr/ark:/12148/btv1b105477385
latin 8171,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674407,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b90725937
latin 8172,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67441g,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9072592t
latin 8173,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67442q,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9072591d
latin 8174,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67443z,colorized,https://gallica.bnf.fr/ark:/12148/btv1b105158935
latin 8175,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674446,microfilmed,https://gallica.bnf.fr/ark:/12148/btv1b9076929p
latin 8176,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67445f,colorized,https://gallica.bnf.fr/ark:/12148/btv1b525054407
latin 8177,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67446p,microfilmed,http://gallica.bnf.fr/ark:/12148/btv1b10036198b
latin 8178,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc67447x,none,none
latin 8179,https://archivesetmanuscrits.bnf.fr/./ark:/12148/cc674485,none,none
